"","EMISION","BETA","RF","RM","CAPM","EMISORA","NIVELES"
"1","AC*",0.563582,0.035,0.0829,2.734559,1,"MINIMUM"
"2","ALFAA",1.11668,0.035,0.0829,5.383899,2,"HIGH"
"3","ALSEA*",0.945461,0.035,0.0829,4.563758,3,"MEDIA"
"4","AMXL",1.209218,0.035,0.0829,5.827153,4,"HIGH"
"5","ASURB",0.694692,0.035,0.0829,3.362574,5,"MINIMUM"
"6","BIMBOA",0.944363,0.035,0.0829,4.558501,6,"MEDIA"
"7","CEMEXCPO",2.025752,0.035,0.0829,9.738351,7,"HIGH"
"8","ELEKTRA*",0.736135,0.035,0.0829,3.561086,8,"LOW"
"9","FEMSAUBD",0.854243,0.035,0.0829,4.126822,9,"LOW"
"10","GAPB",0.704172,0.035,0.0829,3.407985,10,"MINIMUM"
"11","GCARSOA1",1.105967,0.035,0.0829,5.33258,11,"HIGH"
"12","GENTERA*",0.875687,0.035,0.0829,4.229542,12,"MEDIA"
"13","GFINBURO",0.966126,0.035,0.0829,4.662744,13,"MEDIA"
"14","GFNORTEO",1.161378,0.035,0.0829,5.598001,14,"HIGH"
"15","GFREGIOO",0.309372,0.035,0.0829,1.516894,15,"MINIMUM"
"16","GMEXICOB",1.153395,0.035,0.0829,5.559763,16,"HIGH"
"17","GRUMAB",0.730774,0.035,0.0829,3.535408,17,"LOW"
"18","ICA*",2.312633,0.035,0.0829,11.11251,18,"HIGH"
"19","ICHB",0.505084,0.035,0.0829,2.454352,19,"MINIMUM"
"20","IENOVA*",0.394211,0.035,0.0829,1.923273,20,"MINIMUM"
"21","KIMBERA",0.732694,0.035,0.0829,3.544602,21,"LOW"
"22","KOFL",0.780758,0.035,0.0829,3.774832,22,"LOW"
"23","LABB",0.545573,0.035,0.0829,2.648293,23,"MINIMUM"
"24","LALAB",0.769128,0.035,0.0829,3.719125,24,"LOW"
"25","LIVEPOLC-1",0.737972,0.035,0.0829,3.569887,25,"LOW"
"26","MEXCHEM*",0.969663,0.035,0.0829,4.679683,26,"MEDIA"
"27","OHLMEX*",1.025932,0.035,0.0829,4.949214,27,"HIGH"
"28","OMAB",0.743939,0.035,0.0829,3.598466,28,"LOW"
"29","PE&OLES*",0.978669,0.035,0.0829,4.722826,29,"MEDIA"
"30","PINFRA*",0.674892,0.035,0.0829,3.267732,30,"MINIMUM"
"31","SANMEXB",0.990046,0.035,0.0829,4.77732,31,"MEDIA"
"32","SIMECB",0.508406,0.035,0.0829,2.470263,32,"MINIMUM"
"33","TLEVISACPO",0.998722,0.035,0.0829,4.818876,33,"MEDIA"
"34","WALMEX*",0.781527,0.035,0.0829,3.778514,34,"LOW"
"35","IPC",1,0.035,0.0829,4.825,35,"HIGH"
